sss_year,state,income_min,income_max,value_0,value_1,value_2,value_3,notes,source,source_url,collected_by,date_collected,Complete
2026,CA,"1,551","1,600",102,455,536,603,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,"1,601","1,650",106,470,553,622,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,"1,651","1,700",109,484,570,641,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,"1,701","1,750",112,499,587,660,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,"1,751","1,800",115,513,604,679,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,"1,801","1,850",119,528,621,698,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,"1,851","1,900",122,542,638,717,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,"1,901","1,950",125,556,655,737,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,"1,951","2,000",128,571,672,756,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
2026,CA,"2,001","2,050",132,585,689,775,"If income is less than $32,901, then lookup number of children in columns c - f, and return value","California Franchise Tax Board. 2025 Instructions for Form FTB 3514 – California Earned Income Tax Credit, pp. 22-30. Sacramento: California Franchise Tax Board, 2025. Downloaded on 1/15/2026 from https://www.ftb.ca.gov/forms/search/Home/Results.",https://www.ftb.ca.gov/forms/2025/2025-3514-booklet.html#credit-table,KSe,01/15/2026,NA
