sss_year,state,filing_status,variable_name,type,calculation_method,income_min,income_max,num_children,youngest_child,value
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,58630,61295,2,school,0.3
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,61295,63960,2,school,0.25
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,63960,66625,2,school,0.15
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,66625,69290,2,school,0.05
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,69290,74620,2,school,0.04
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,74620,79950,2,school,0.04
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,79950,Inf,2,school,0
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,0,2665,1,infant,0.1
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,2665,5330,1,infant,0.2
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,5330,7995,1,infant,0.3
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,7995,10660,1,infant,0.4
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,10660,13325,1,infant,0.5
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,13325,15990,1,infant,0.55
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,15990,18655,1,infant,0.6
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,18655,21320,1,infant,0.65
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,21320,23985,1,infant,0.7
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,23985,29315,1,infant,0.75
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,29315,31980,1,infant,0.71
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,31980,34645,1,infant,0.66
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,34645,37310,1,infant,0.61
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,37310,39975,1,infant,0.55
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,39975,42640,1,infant,0.5
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,42640,53300,1,infant,0.47
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,53300,55965,1,infant,0.45
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,55965,58630,1,infant,0.4
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,58630,61295,1,infant,0.35
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,61295,63960,1,infant,0.3
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,63960,66625,1,infant,0.2
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,66625,69290,1,infant,0.1
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,69290,74620,1,infant,0.06
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,74620,79950,1,infant,0.04
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,79950,Inf,1,infant,0
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,0,2665,1,presch,0.08
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,2665,5330,1,presch,0.18
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,5330,7995,1,presch,0.28
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,7995,10660,1,presch,0.38
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,10660,13325,1,presch,0.48
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,13325,15990,1,presch,0.53
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,15990,18655,1,presch,0.58
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,18655,21320,1,presch,0.63
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,21320,23985,1,presch,0.68
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,23985,29315,1,presch,0.73
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,29315,31980,1,presch,0.69
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,31980,34645,1,presch,0.64
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,34645,37310,1,presch,0.59
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,37310,39975,1,presch,0.53
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,39975,42640,1,presch,0.48
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,42640,53300,1,presch,0.45
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,53300,55965,1,presch,0.43
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,55965,58630,1,presch,0.38
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,58630,61295,1,presch,0.33
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,61295,63960,1,presch,0.28
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,63960,66625,1,presch,0.18
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,66625,69290,1,presch,0.08
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,69290,74620,1,presch,0.06
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,74620,79950,1,presch,0.04
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,79950,Inf,1,presch,0
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,0,2665,1,school,0.05
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,2665,5330,1,school,0.15
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,5330,7995,1,school,0.25
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,7995,10660,1,school,0.35
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,10660,13325,1,school,0.45
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,13325,15990,1,school,0.5
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,15990,18655,1,school,0.55
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,18655,21320,1,school,0.6
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,21320,23985,1,school,0.65
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,23985,29315,1,school,0.7
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,29315,31980,1,school,0.66
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,31980,34645,1,school,0.61
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,34645,37310,1,school,0.56
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,37310,39975,1,school,0.5
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,39975,42640,1,school,0.45
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,42640,53300,1,school,0.42
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,53300,55965,1,school,0.4
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,55965,58630,1,school,0.35
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,58630,61295,1,school,0.3
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,61295,63960,1,school,0.25
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,63960,66625,1,school,0.15
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,66625,69290,1,school,0.05
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,69290,74620,1,school,0.04
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,74620,79950,1,school,0.04
2026,OR,married,child_dependent_care,credit,percentage_of_capped_costs,79950,Inf,1,school,0
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,0,3215,3,infant,0.1
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,3215,6430,3,infant,0.2
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,6430,9645,3,infant,0.3
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,9645,12860,3,infant,0.4
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,12860,16075,3,infant,0.5
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,16075,19290,3,infant,0.55
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,19290,22505,3,infant,0.6
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,22505,25720,3,infant,0.65
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,25720,28935,3,infant,0.7
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,28935,35365,3,infant,0.75
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,35365,38580,3,infant,0.71
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,38580,41795,3,infant,0.66
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,41795,45010,3,infant,0.61
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,45010,48225,3,infant,0.55
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,48225,51440,3,infant,0.5
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,51440,64300,3,infant,0.47
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,64300,67515,3,infant,0.45
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,67515,70730,3,infant,0.4
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,70730,73945,3,infant,0.35
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,73945,77160,3,infant,0.3
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,77160,80375,3,infant,0.2
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,80375,83590,3,infant,0.1
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,83590,90020,3,infant,0.06
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,90020,96450,3,infant,0.04
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,96450,Inf,3,infant,0
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,0,3215,3,presch,0.08
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,3215,6430,3,presch,0.18
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,6430,9645,3,presch,0.28
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,9645,12860,3,presch,0.38
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,12860,16075,3,presch,0.48
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,16075,19290,3,presch,0.53
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,19290,22505,3,presch,0.58
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,22505,25720,3,presch,0.63
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,25720,28935,3,presch,0.68
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,28935,35365,3,presch,0.73
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,35365,38580,3,presch,0.69
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,38580,41795,3,presch,0.64
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,41795,45010,3,presch,0.59
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,45010,48225,3,presch,0.53
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,48225,51440,3,presch,0.48
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,51440,64300,3,presch,0.45
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,64300,67515,3,presch,0.43
2026,OR,single_parent,child_dependent_care,credit,percentage_of_capped_costs,67515,70730,3,presch,0.38
